priority,address,bundle_id,runtime_status,recommended_action,sheet_jp,sheet_ko,current_static_text,expected_if_18_is_control,only_leading_ko_diff_vs_sheet,current_payload_hex,direct_18_E518,source_payload_hex,nul_run,next_control,control_adjacent_08_17,predecessor_address,predecessor_text,next_dialogue_address,next_dialogue_text,status,confidence
P4_direct_ext3_text_drift,6004F4,scenario_6004DB,unverified,review_translation_and_runtime_by_bundle,本当はクワトロ大尉あたりが来てくれれば,사실은 크와트로 대위 같은 사람이 와주었으면,こ크와트로　대위가　왔더라면,크와트로　대위가　왔더라면,,18E518499D01010101010101010101010101,True,18F26408FB96F08E1F11F21B9B0B241BF03E,1,,,6004E5,처음이었던가、　브라이트　중령。,600507,인질의　가치도　더　높아졌을　텐데……,quarantine,unresolved
P2_direct_ext3_exact_text,600547,scenario_60052C,unverified,second_batch_representative_runtime_test,手元が狂って頭に当たってしまうかも,조준이 어긋나서 머리에 맞아버릴지도,こ조준이　어긋나서　머리에　맞아버릴지도,조준이　어긋나서　머리에　맞아버릴지도,True,18E518B10C0101010101010101010101010101010101,True,1872E08817E112F156E1060CE014F3760B1221F1D820,1,,,60053B,난　사격이　별로　능숙하지　않거든……,60055E,모르니까　말이야、　후후후。,quarantine,unresolved
P4_direct_ext3_text_drift,600661,scenario_600647,unverified,review_translation_and_runtime_by_bundle,ブライト艦長たちが,브라이트 함장 일행이,こ브라이트　함장들이,브라이트　함장들이,,18E5182C300101,True,18F97EF4FAF758,1,,,600652,백색　궁전에서　통신입니다！！,600669,회견장에서　탈출했다고！！,quarantine,unresolved
P2_direct_ext3_exact_text,6006D4,scenario_6006B7,unverified,second_batch_representative_runtime_test,ネェル・ア－ガマは,넬 아가마는,こ넬　아가마는,넬　아가마는,True,18E518B0A90101,True,18F5962AFB7808,1,,,6006C7,브라이트　중령　일행을　구출한다！,6006DC,전속력으로　백색　궁전을　향해라！！,quarantine,unresolved
P2_direct_ext3_exact_text,6006EC,scenario_6006B7,unverified,second_batch_representative_runtime_test,マザ－・バンガ－ドは,마더 뱅가드는,こ마더　뱅가드는,마더　뱅가드는,True,18E518B1230101,True,18F5942AFCD208,1,,,6006DC,전속력으로　백색　궁전을　향해라！！,6006F4,넬　아가마를　엄호하라！！,quarantine,unresolved
P1_direct_ext3_exact_text_control_adjacent,60074C,scenario_600735,unverified,high_priority_batch_after_anchor_pass,ここに、ブライト中佐たちはいる！！,여기에 브라이트 중령 일행이 있다！！,こ여기에　브라이트　중령　일행이　있다！！,여기에　브라이트　중령　일행이　있다！！,True,18E518B12901010101010101,True,18F79E07F97EF4CAFC95F044,2,1728,True,60073F,이　건물까지　전진시켜라！,600762,……로랑　군！！,quarantine,unresolved
P4_direct_ext3_text_drift,6007C1,scenario_6007B7,unverified,review_translation_and_runtime_by_bundle,君はネオ・ジオンの者だろう？,너는 네오 지온의 사람이겠지？,こ자넨　네오　지온　사람이지？,자넨　네오　지온　사람이지？,,18E5181C450101010101010101,True,186108F1002AF7AB059FF5AE1D,1,,,6007B7,……대체　무슨　일이지？,6007CF,왜　우릴　돕는　거지？,quarantine,unresolved
P1_direct_ext3_exact_text_control_adjacent,60081B,scenario_600805,unverified,high_priority_batch_after_anchor_pass,……さあ、来い！,"……자, 와라！",こ……자、　와라！,……자、　와라！,True,18E518B13501010101,True,18F191F32B079B0403,2,1728,True,600812,얼마든지　설명해　주지。,60082B,앗！　기、　기다리게나……,quarantine,unresolved
P1_direct_ext3_exact_text_control_adjacent,60085F,scenario_600840,unverified,high_priority_batch_after_anchor_pass,……さあ、ディアナ様、こちらへ。,"……자, 디아나 님, 이쪽으로.",こ……자、　디아나　님、　이쪽으로。,……자、　디아나　님、　이쪽으로。,True,18E518B1390101010101010101,True,18F191F32B07F8E78B07FB0E0A,2,0845,True,600851,지금은　여기서　벗어나는　게　급선무다。,600871,……브라이트　함장。,quarantine,unresolved
P4_direct_ext3_text_drift,6008B0,scenario_600894,unverified,review_translation_and_runtime_by_bundle,ラ－ディッシュの乗員たちも,라디시의 승무원들도,こ라디쉬의　승무원들도,라디쉬의　승무원들도,,18E518C5EA010101,True,18FE5705F533F765,1,,,60089D,이　앞에　밖으로　나갈　해치가　있다。,6008B9,거기서　기다리고　있다。,quarantine,unresolved
P2_direct_ext3_exact_text,60091A,scenario_600909,unverified,second_batch_representative_runtime_test,ブライト艦長は乗員の方々を,브라이트 함장은 승무원들을,こ브라이트　함장은　승무원들을,브라이트　함장은　승무원들을,True,18E518B14401010101010101,True,18F97EF4FA08F533057D7115,1,,,600909,제게　생각이　있습니다！！,600927,모아　두십시오！,quarantine,unresolved
P4_direct_ext3_text_drift,600A59,scenario_600A48,unverified,review_translation_and_runtime_by_bundle,……いえ、とにかく、,"……아니요, 어쨌든,",こ……아니요、　어쨌든、　지금은　적을,……아니요、　어쨌든、　지금은　적을,,18E5181A8701010101,True,18F191F25407FB0107,1,,,600A48,자세한　사정은　저도　아직……,600A63,지금은　적을　물리치는　게　먼저입니다。,quarantine,unresolved
P1_direct_ext3_exact_text_control_adjacent,600A72,scenario_600A48,unverified,high_priority_batch_after_anchor_pass,そちらと合流します。,그쪽과 합류하겠습니다.,こ그쪽과　합류하겠습니다。,그쪽과　합류하겠습니다。,True,18E518B155010101,True,18F9E4F4E9F6700A,2,1728,True,600A63,지금은　적을　물리치는　게　먼저입니다。,600A84,그럼、　브라이트　중령。,quarantine,unresolved
P1_direct_ext3_exact_text_control_adjacent,600AE1,scenario_600AD7,unverified,high_priority_batch_after_anchor_pass,そちらの方はよろしいですか！？,그쪽은 괜찮으십니까！？,こ그쪽은　괜찮으십니까！？,그쪽은　괜찮으십니까！？,True,18E518B15C0101010101010101,True,18223BF0597D08F9EBF8AAF040,2,1728,True,600AD7,디아나　여왕！,600AFA,……네。,quarantine,unresolved
P4_direct_ext3_text_drift,600B04,scenario_600AFA,unverified,review_translation_and_runtime_by_bundle,すでにラ－ディッシュのモビルス－ツは,이미 라디시의 모빌슈트는,こ이미　라디쉬의　모빌슈트는,이미　라디쉬의　모빌슈트는,,18E518C5E701010101,True,18F86BFE5705FD7908,1,,,600AFA,……네。,600B0E,이쪽으로　옮겨　두었습니다。,quarantine,unresolved
P1_direct_ext3_exact_text_control_adjacent,600B96,scenario_600B7B,unverified,high_priority_batch_after_anchor_pass,……目に物見せてやる！,……본때를 보여주마！,こ……본때를　보여주마！,……본때를　보여주마！,True,18E518B1640101010101010101,True,18F191B10CE05F8AF55E3A0F03,2,1728,True,600B84,디아나　님을　업신여기다니！,600BAD,……좋아！,quarantine,unresolved
P2_direct_ext3_exact_text,600BD8,scenario_600BCB,unverified,second_batch_representative_runtime_test,よりによって、このフォン・シティで,하필이면 이 폰 시티에서,こ하필이면　이　폰　시티에서,하필이면　이　폰　시티에서,True,18E518B168010101010101010101,True,18F488FA7807F362F7042AF89416,1,,,600BCB,오오……　이　무슨　일인가！！,600BE7,전투가　시작되다니！！,quarantine,unresolved
P2_direct_ext3_exact_text,600C17,scenario_600C02,unverified,second_batch_representative_runtime_test,困るっていうならギンガナムを止めるなり,곤란하다면 깅가남을 막든가,こ곤란하다면　깅가남을　막든가,곤란하다면　깅가남을　막든가,True,18E518B16B01010101010101010101010101,True,18E1680FF15604F830FCD515E027F4190627,1,,,600C02,정말이지、　쓸모없는　남자네……,600C2A,에우고를　붙잡든가　할　것이지,quarantine,unresolved
P4_direct_ext3_text_drift,600D1F,scenario_600D14,unverified,review_translation_and_runtime_by_bundle,こっ、こ、こ、こ、,"이, 이, 이, 이,",こ이、　이、　이、　이、　이　나를、　주、,이、　이、　이、　이、　이　나를、　주、,,18E5182A290101010101,True,18F35907180718071807,1,,,600D14,……히익！！,600D2A,이　몸을、　죽이려는　거냐！？,quarantine,unresolved
P1_direct_ext3_exact_text_control_adjacent,600D74,scenario_600D58,unverified,high_priority_batch_after_anchor_pass,……さびしくはならないはずだよ。,……외롭지는 않을 거야.,こ……외롭지는　않을　거야。,……외롭지는　않을　거야。,True,18E518B17F010101010101010101010101,True,18F19125E0511224F09EF5D00874F5500A,2,1728,True,600D66,네　곁으로　갈　거다……,600D91,……그럼、　작별이다。,quarantine,unresolved
P2_direct_ext3_exact_text,600DE5,scenario_600DDB,unverified,second_batch_representative_runtime_test,エゥ－ゴのみんなには,에우고 일행에게는,こ에우고　일행에게는,에우고　일행에게는,True,18E518B1850101,True,18F8E305F8E608,1,,,600DDB,……자、　그럼。,600DED,조금　더　우리와　놀아줘야겠지。,quarantine,unresolved
P1_direct_ext3_exact_text_control_adjacent,600EE3,scenario_600ED4,unverified,high_priority_batch_after_anchor_pass,そ、そんな……！！,"그, 그럴 수가……！！",こ그、　그럴　수가……！！,그、　그럴　수가……！！,True,18E518B0B0010101,True,182207F823F60C03,2,1728,True,600ED4,필、　필　소령님！？,600EF5,아앗！！,quarantine,unresolved
P2_direct_ext3_exact_text,600F93,scenario_600F83,unverified,second_batch_representative_runtime_test,ボクはロ－ラでも,저는 로라도 아니고,こ저는　로라도　아니고,저는　로라도　아니고,True,18E518B195010101,True,18F27908F61FF25E,1,,,600F83,……제정신이　아니군요！！,600F9C,당신의　인형도　아니에요！！,quarantine,unresolved
P1_direct_ext3_exact_text_control_adjacent,601179,scenario_601170,unverified,high_priority_batch_after_anchor_pass,かくなる上は……！！,이렇게 된 이상……！！,こ이렇게　된　이상……！！,이렇게　된　이상……！！,True,18E518B1A9010101,True,18FB9E9D08F60C03,2,1728,True,601170,하하하하핫！！,60118B,저건！？,quarantine,unresolved
P2_direct_ext3_exact_text,6011B8,scenario_6011A3,unverified,second_batch_representative_runtime_test,このブラックド－ルで全てを破壊し、,"이 블랙 돌로 모든 것을 파괴하고,",こ이　블랙　돌로　모든　것을　파괴하고、,이　블랙　돌로　모든　것을　파괴하고、,True,18E518B1AD01010101010101010101010101,True,18F362842E513D4410381686F38CF1CC1207,1,,,6011B0,나　하나뿐……,6011CB,내　왕국을　세워　보이겠다！！,quarantine,unresolved
P1_direct_ext3_exact_text_control_adjacent,6012A5,scenario_601298,unverified,high_priority_batch_after_anchor_pass,愚かな……！,어리석군……！,こ어리석군……！,어리석군……！,True,18E518B1B80101,True,18E179F135F60C,2,1728,True,601298,……구엔　라인포드。,6012B6,……아인！！,quarantine,unresolved
P1_direct_ext3_exact_text_control_adjacent,6012D9,scenario_6012CC,unverified,high_priority_batch_after_anchor_pass,いいかげん、うっとうしいんだよ！！,"적당히 좀 해, 거추장스럽다고！！",こ적당히　좀　해、　거추장스럽다고！！,적당히　좀　해、　거추장스럽다고！！,True,18E518B1BB010101010101010101,True,18FBF807F1EB1314F45CF784F044,2,1728,True,6012CC,또　너냐！！,6012F3,……사라져　버려！！,quarantine,unresolved
P2_direct_ext3_exact_text,601334,scenario_601327,unverified,second_batch_representative_runtime_test,このデスパ－ダだって,이 데스파다도,こ이　데스파다도,이　데스파다도,True,18E518B1C00101,True,18F362FCF8F649,1,,,601327,그게　어쨌다는　거야！！,60133C,파워업했어！！,quarantine,unresolved
P1_direct_ext3_exact_text_control_adjacent,601347,scenario_601327,unverified,high_priority_batch_after_anchor_pass,おまえなんかに負けるもんか！！,너 같은 놈한테 질까 보냐！！,こ너　같은　놈한테　질까　보냐！！,너　같은　놈한테　질까　보냐！！,True,18E518B1C2010101010101010101,True,18F70CF9A0E04FF4A220190EF044,2,1728,True,60133C,파워업했어！！,601361,……아니。,quarantine,unresolved
P1_direct_ext3_exact_text_control_adjacent,60136B,scenario_601361,unverified,high_priority_batch_after_anchor_pass,もう二度と……,이제 두 번 다시……,こ이제　두　번　다시……,이제　두　번　다시……,True,18E518B1C3010101,True,18F29BF52113F191,2,1728,True,601361,……아니。,60137F,나는！,quarantine,unresolved
P3_direct_ext3_control_adjacent_text_drift,601394,scenario_60137F,unverified,confirm_current_text_then_rehome,偽りの力で戦っているキサマにはな！！,거짓된 힘으로 싸우고 있는 네놈에게는 말이다！！,こ거짓　힘으로　싸우는　네놈은！！,거짓　힘으로　싸우는　네놈은！！,,18E518B1C6010101010101010101010101,True,18E4E1F22C571639F920F736F46706F044,2,1728,True,601387,네놈에게　당하지　않겠다！！,6013AF,끝이다、　아인！！,quarantine,unresolved
P2_direct_ext3_exact_text,60154C,scenario_60153B,unverified,second_batch_representative_runtime_test,たのむから、思い出してくれ！！,부탁이니까 기억해 내줘！！,こ부탁이니까　기억해　내줘！！,부탁이니까　기억해　내줘！！,True,18E518B1DA010101010101,True,18FBE70794046FF906F044,1,,,60153B,……아니야！　그게　아니라고！！,601558,나는　너의……,quarantine,unresolved
P2_direct_ext3_exact_text,6015E4,scenario_6015CB,unverified,second_batch_representative_runtime_test,アナタの事も記憶しています。,당신에 대해서도 기억하고 있습니다.,こ당신에　대해서도　기억하고　있습니다。,당신에　대해서도　기억하고　있습니다。,True,18E518B1E3010101010101,True,18F80905AB20F33DFCC20A,2,,,6015D8,브라드　중령의　딸이군요。,6015F1,こ보통　소녀답지　않은　행동거지에、　과거,quarantine,unresolved
P4_direct_ext3_text_drift,6015F1,scenario_6015CB,unverified,review_translation_and_runtime_by_bundle,普通の少女らしからぬ振る舞いに、,"보통 소녀답지 않은 행동거지에,",こ보통　소녀답지　않은　행동거지에、　과거,보통　소녀답지　않은　행동거지에、　과거,,18E51827850101010101010101010101010101,True,18F0C905F41D1CF4311CCBE1610FE317F27C07,1,,,6015E4,こ당신에　대해서도　기억하고　있습니다。,601605,예전의　저는　감명받은　듯합니다。,quarantine,unresolved
P3_direct_ext3_control_adjacent_text_drift,601633,scenario_601623,unverified,confirm_current_text_then_rehome,そこまで覚えていて、どうして！？,"그것까지 기억하고 있으면서, 어째서！？",こ그것까지　기억하면서、　어째서！？,그것까지　기억하면서、　어째서！？,,18E5181BD5010101010101010101,True,18FB10E041F11EF27507F900F040,2,0804,True,601623,어째서인가요、　세라　씨！！,601646,말할　필요도　없는　일입니다。,quarantine,unresolved
P2_direct_ext3_exact_text,601656,scenario_601646,unverified,second_batch_representative_runtime_test,現在の私にとっては、,"현재의 저에게 있어서는,",こ현재의　저에게　있어서는、,현재의　저에게　있어서는、,True,18E518B1E9010101,True,18F3200541FC3507,1,,,601646,말할　필요도　없는　일입니다。,60165F,마스터를　섬기는　것이　최고의　사명。,quarantine,unresolved
P4_direct_ext3_text_drift,601671,scenario_601646,unverified,review_translation_and_runtime_by_bundle,アナタ方との記憶は,당신들과의 기억은,こ당신들과의　기억은　단순한　과거의,당신들과의　기억은　단순한　과거의,,18E5183A8501010101,True,18F8097DF17FF33D08,1,,,60165F,마스터를　섬기는　것이　최고의　사명。,60167B,사실에　지나지　않습니다。,quarantine,unresolved
P4_direct_ext3_text_drift,6016C2,scenario_6016B6,unverified,review_translation_and_runtime_by_bundle,彼女との関係は忘れるんだ！,그녀와의 관계는 잊게！,こ그녀와의　관계는　잊게！　더　이상,그녀와의　관계는　잊게！　더　이상,,18E5183A830101010101010101,True,18F383F17FF44F08E15BFA5B03,1,,,6016B6,시그　중위！！,6016D0,그녀는　예전의　그녀가　아닐세！！,quarantine,unresolved
P1_direct_ext3_exact_text_control_adjacent,6016E1,scenario_6016B6,unverified,high_priority_batch_after_anchor_pass,そうしなければ君が死ぬぞ！！,그렇지 않으면 자네가 죽어！！,こ그렇지　않으면　자네가　죽어！！,그렇지　않으면　자네가　죽어！！,True,18E518B1F00101010101,True,18FE2A6117ADF09DF044,2,1728,True,6016D0,그녀는　예전의　그녀가　아닐세！！,6016F2,그건　무리라고요！！,quarantine,unresolved
P1_direct_ext3_exact_text_control_adjacent,60173B,scenario_60171D,unverified,high_priority_batch_after_anchor_pass,撃てるわけないじゃないですか！！,쏠 수 있을 리가 없잖아요！！,こ쏠　수　있을　리가　없잖아요！！,쏠　수　있을　리가　없잖아요！！,True,18E518B1F5010101010101,True,187BF39031F891FE5DF044,2,082B,True,60172E,그녀는　그　세라　씨라고요！,60174B,그렇지　않으면　너희가　죽는다。,quarantine,unresolved
P4_direct_ext3_text_drift,6017CD,scenario_6017C1,unverified,review_translation_and_runtime_by_bundle,このディアナの名を冠する部隊の指揮官が,이 디아나의 이름을 딴 부대의 지휘관이,こ디아나　이름을　딴　부대　지휘관이,디아나　이름을　딴　부대　지휘관이,,18E51849A70101010101010101010101010101,True,18F362F8E705E02815E428F1CBF42805F59F17,1,,,6017C1,필・아카만！！,6017E1,왜　깅가남을　따라　날　거역하는가！？,quarantine,unresolved
P4_direct_ext3_text_drift,6017FC,scenario_6017F3,unverified,review_translation_and_runtime_by_bundle,我々は地球のことばかりを考え、月の民を,"저희들은 지구만을 생각하고, 달의 백성을",こ저희들은　지구만을　생각하고、　달을,저희들은　지구만을　생각하고、　달을,,18E518B1FE0101010101010101010101010101010101,True,186A7108F570F5E4490EF237E04D2B07E07705E1A115,1,,,6017F3,디아나　님！,601813,등한시하는　폐하의　뜻에는……,quarantine,unresolved
P3_direct_ext3_control_adjacent_text_drift,601826,scenario_6017F3,unverified,confirm_current_text_then_rehome,ついていけないと申しておるのです！！,따라갈 수 없다고 말씀드리는 것입니다！！,こ따라갈　수　없다고　말씀드렸습니다！！,따라갈　수　없다고　말씀드렸습니다！！,,18E5183BDF01010101010101010101010101,True,18F69704F89113E0EFF413350F05F27DF044,2,0845,True,601813,등한시하는　폐하의　뜻에는……,60183D,………………,quarantine,unresolved
P2_direct_ext3_exact_text,6018C4,scenario_6018B3,unverified,second_batch_representative_runtime_test,我らの行動はすベて陛下に,저희들의 행동은 모두 폐하께서,こ저희들의　행동은　모두　폐하께서,저희들의　행동은　모두　폐하께서,True,18E518B2090101010101010101,True,186AF059F2C0081EDE0BF2320C,1,,,6018B3,……그만두십시오、　폐하！,6018D2,생각을　바꾸시게　하려던　것뿐입니다。,quarantine,unresolved
P1_direct_ext3_exact_text_control_adjacent,6018E6,scenario_6018B3,unverified,high_priority_batch_after_anchor_pass,決して他意はございません！,결코 다른 뜻은 없습니다！,こ결코　다른　뜻은　없습니다！,결코　다른　뜻은　없습니다！,True,18E518B20B01010101010101010101,True,18E019F413E0EDDD08D3E006F99203,2,0845,True,6018D2,생각을　바꾸시게　하려던　것뿐입니다。,6018FA,……필이여。,quarantine,unresolved
P4_direct_ext3_text_drift,601905,scenario_6018FA,unverified,review_translation_and_runtime_by_bundle,ギム・ギンガナムはタ－ンＸを持ち出し、,"기임 깅가남은 턴 엑스를 들고나가,",こ김　깅가남은　턴　엑스를　들고나가、,김　깅가남은　턴　엑스를　들고나가、,,18E518B20D01010101010101010101010101,True,18F1B82AFCD508F85CE04E15E0123B6F1207,1,,,6018FA,……필이여。,601918,세상을　혼란에　빠뜨리려　합니다。,quarantine,unresolved
P4_direct_ext3_text_drift,601929,scenario_6018FA,unverified,review_translation_and_runtime_by_bundle,これも……また私の犯した罪であります。,이것도…… 또한 내가 저지른 죄입니다.,こ이것도……　내가　저지른　죄입니다。,이것도……　내가　저지른　죄입니다。,,18E5184BDA01010101010101010101010101,True,18F634F191F1944105E370F41BE1DDFC1D0A,2,,,601918,세상을　혼란에　빠뜨리려　합니다。,60193D,こ그를　몰아내는　데　힘을　빌려　줘。,quarantine,unresolved
P3_direct_ext3_control_adjacent_text_drift,60193D,scenario_6018FA,unverified,confirm_current_text_then_rehome,彼を駆逐するために力を貸してほしい。,그를 구축하기 위해 힘을 빌려주었으면 한다.,こ그를　몰아내는　데　힘을　빌려　줘。,그를　몰아내는　데　힘을　빌려　줘。,,18E5181BD6010101010101010101,True,189515F1A4FC335715E0D9FC5D0A,2,085E,True,601929,こ이것도……　내가　저지른　죄입니다。,601950,오오……！！,quarantine,unresolved
P2_direct_ext3_exact_text,60195A,scenario_601950,unverified,second_batch_representative_runtime_test,そのようなお言葉を陛下からのご命令として,그러한 말씀을 폐하의 명령으로서,こ그러한　말씀을　폐하의　명령으로서,그러한　말씀을　폐하의　명령으로서,True,18E518B21101010101010101010101,True,18FC4D35F53C15F232F9A2F1D5F80C,1,,,601950,오오……！！,60196A,받고　싶었습니다……폐하！,quarantine,unresolved
P3_direct_ext3_control_adjacent_text_drift,601B12,scenario_601B07,unverified,confirm_current_text_then_rehome,タ、タ－ンＸの月光蝶が……！！,"턴, 턴엑스의 월광접이……！！",こ터、　턴Ｘ의　월광접이……！！,터、　턴Ｘ의　월광접이……！！,,18E5184AB5010101010101010101,True,183007F85CE04E05F67C17F60C03,2,1728,True,601B07,……뭐라고！？,601B2C,……좋아、　지금이다！！,quarantine,unresolved
P3_direct_ext3_control_adjacent_text_drift,601B3A,scenario_601B2C,unverified,confirm_current_text_then_rehome,全機、タ－ンＸに攻撃を集中せよ！！,"전 기체, 턴엑스에 공격을 집중해라！！",こ전　기체、　턴엑스에　공격　집중！！,전　기체、　턴엑스에　공격　집중！！,,18E5180C3D01010101010101010101010101,True,18F56D07F85CE04E0CF35A15F334F557F044,2,1728,True,601B2C,……좋아、　지금이다！！,601B56,이、　이놈……！！,quarantine,unresolved
P2_direct_ext3_exact_text,601CCE,scenario_601CC1,unverified,second_batch_representative_runtime_test,……そうだな。,……그렇군.,こ……그렇군。,……그렇군。,True,18E518B22F01,True,18F191FA050A,2,,,601CC1,올바　프로스트인가……,601CD6,こ직격은　면했다만、　데몬스트레이션의　역,quarantine,unresolved
P4_direct_ext3_text_drift,601CD6,scenario_601CC1,unverified,review_translation_and_runtime_by_bundle,直撃は逃したが、デモンストレ－ションの,"직격은 면했다만, 데몬스트레이션의",こ직격은　면했다만、　데몬스트레이션의　역,직격은　면했다만、　데몬스트레이션의　역,,18E51829ED0101010101010101010101010101010101,True,18F20F08E015F41B170773F4C12F3E33102DE0BF1A05,1,,,601CCE,こ……그렇군。,601CED,역할은　충분히　했겠지。,quarantine,unresolved
P4_direct_ext3_text_drift,601D3B,scenario_601D26,unverified,review_translation_and_runtime_by_bundle,ティタ－ンズかネオ・ジオンが,티탄즈나 네오 지온이,こ티탄즈나　네오　지온이　그것과　동등한,티탄즈나　네오　지온이　그것과　동등한,,18E5184A030101010101,True,18FDC40EF1002AF7AB17,1,,,601D26,１년　전쟁　때　기렌이　쓴　솔라　레이。,601D46,병기를　사용한　것이　분명해。,quarantine,unresolved
