address,bundle_id,priority,strategy,text,body_capacity,source_prefix_hex,current_ext3_token,native_tokens,native_token_count,native_body_hex,nul_run,next_control
600D74,scenario_600D58,P1_direct_ext3_exact_text_control_adjacent,portal16,……외롭지는　않을　거야。,16,18,E518B17F,,0,,2,1728
600DE5,scenario_600DDB,P2_direct_ext3_exact_text,portal16,에우고　일행에게는,6,18,E518B185,,0,,1,
600EE3,scenario_600ED4,P1_direct_ext3_exact_text_control_adjacent,portal16,그、　그럴　수가……！！,7,18,E518B0B0,,0,,2,1728
600F93,scenario_600F83,P2_direct_ext3_exact_text,portal16,저는　로라도　아니고,7,18,E518B195,,0,,1,
601179,scenario_601170,P1_direct_ext3_exact_text_control_adjacent,portal16,이렇게　된　이상……！！,7,18,E518B1A9,,0,,2,1728
6011B8,scenario_6011A3,P2_direct_ext3_exact_text,portal16,이　블랙　돌로　모든　것을　파괴하고、,17,18,E518B1AD,,0,,1,
6012A5,scenario_601298,P1_direct_ext3_exact_text_control_adjacent,portal16,어리석군……！,6,18,E518B1B8,,0,,2,1728
6012D9,scenario_6012CC,P1_direct_ext3_exact_text_control_adjacent,portal16,적당히　좀　해、　거추장스럽다고！！,13,18,E518B1BB,,0,,2,1728
601334,scenario_601327,P2_direct_ext3_exact_text,portal16,이　데스파다도,6,18,E518B1C0,,0,,1,
601347,scenario_601327,P1_direct_ext3_exact_text_control_adjacent,portal16,너　같은　놈한테　질까　보냐！！,13,18,E518B1C2,,0,,2,1728
60136B,scenario_601361,P1_direct_ext3_exact_text_control_adjacent,portal16,이제　두　번　다시……,7,18,E518B1C3,,0,,2,1728
601394,scenario_60137F,P3_direct_ext3_control_adjacent_text_drift,portal16,거짓　힘으로　싸우는　네놈은！！,16,18,E518B1C6,,0,,2,1728
60154C,scenario_60153B,P2_direct_ext3_exact_text,portal16,부탁이니까　기억해　내줘！！,10,18,E518B1DA,,0,,1,
6015E4,scenario_6015CB,P2_direct_ext3_exact_text,portal16,당신에　대해서도　기억하고　있습니다。,10,18,E518B1E3,,0,,2,
6015F1,scenario_6015CB,P4_direct_ext3_text_drift,portal16,보통　소녀답지　않은　행동거지에、　과거,18,18,E5182785,,0,,1,
601633,scenario_601623,P3_direct_ext3_control_adjacent_text_drift,portal16,그것까지　기억하면서、　어째서！？,13,18,E5181BD5,,0,,2,0804
601656,scenario_601646,P2_direct_ext3_exact_text,portal16,현재의　저에게　있어서는、,7,18,E518B1E9,,0,,1,
601671,scenario_601646,P4_direct_ext3_text_drift,portal16,당신들과의　기억은　단순한　과거의,8,18,E5183A85,,0,,1,
6016C2,scenario_6016B6,P4_direct_ext3_text_drift,portal16,그녀와의　관계는　잊게！　더　이상,12,18,E5183A83,,0,,1,
6016E1,scenario_6016B6,P1_direct_ext3_exact_text_control_adjacent,portal16,그렇지　않으면　자네가　죽어！！,9,18,E518B1F0,,0,,2,1728
60173B,scenario_60171D,P1_direct_ext3_exact_text_control_adjacent,portal16,쏠　수　있을　리가　없잖아요！！,10,18,E518B1F5,,0,,2,082B
6017CD,scenario_6017C1,P4_direct_ext3_text_drift,portal16,디아나　이름을　딴　부대　지휘관이,18,18,E51849A7,,0,,1,
6017FC,scenario_6017F3,P4_direct_ext3_text_drift,portal16,저희들은　지구만을　생각하고、　달을,21,18,E518B1FE,,0,,1,
601826,scenario_6017F3,P3_direct_ext3_control_adjacent_text_drift,portal16,따라갈　수　없다고　말씀드렸습니다！！,17,18,E5183BDF,,0,,2,0845
6018C4,scenario_6018B3,P2_direct_ext3_exact_text,portal16,저희들의　행동은　모두　폐하께서,12,18,E518B209,,0,,1,
6018E6,scenario_6018B3,P1_direct_ext3_exact_text_control_adjacent,portal16,결코　다른　뜻은　없습니다！,14,18,E518B20B,,0,,2,0845
601905,scenario_6018FA,P4_direct_ext3_text_drift,portal16,김　깅가남은　턴　엑스를　들고나가、,17,18,E518B20D,,0,,1,
601929,scenario_6018FA,P4_direct_ext3_text_drift,portal16,이것도……　내가　저지른　죄입니다。,17,18,E5184BDA,,0,,2,
60193D,scenario_6018FA,P3_direct_ext3_control_adjacent_text_drift,portal16,그를　몰아내는　데　힘을　빌려　줘。,13,18,E5181BD6,,0,,2,085E
60195A,scenario_601950,P2_direct_ext3_exact_text,portal16,그러한　말씀을　폐하의　명령으로서,14,18,E518B211,,0,,1,
601B12,scenario_601B07,P3_direct_ext3_control_adjacent_text_drift,portal16,터、　턴Ｘ의　월광접이……！！,13,18,E5184AB5,,0,,2,1728
601B3A,scenario_601B2C,P3_direct_ext3_control_adjacent_text_drift,portal16,전　기체、　턴엑스에　공격　집중！！,17,18,E5180C3D,,0,,2,1728
601CCE,scenario_601CC1,P2_direct_ext3_exact_text,portal16,……그렇군。,5,18,E518B22F,,0,,2,
601CD6,scenario_601CC1,P4_direct_ext3_text_drift,portal16,직격은　면했다만、　데몬스트레이션의　역,21,18,E51829ED,,0,,1,
601D3B,scenario_601D26,P4_direct_ext3_text_drift,portal16,티탄즈나　네오　지온이　그것과　동등한,9,18,E5184A03,,0,,1,
601DA5,scenario_601D98,P2_direct_ext3_exact_text,portal16,다시　만나게　될　줄이야……,7,18,E5183C50,,0,,1,
601E0B,scenario_601DF7,P4_direct_ext3_text_drift,portal16,이에　맞서기　위해、,7,18,E5180B36,,0,,1,
601E5A,scenario_601E43,P2_direct_ext3_exact_text,portal16,설마　네오　지온과　손을　잡을　줄이야、,16,18,E518B243,,0,,1,
601E92,scenario_601E80,P2_direct_ext3_exact_text,portal16,조금　전에는　인질이　되었던　자를,13,18,E518B246,,0,,1,
601EEB,scenario_601EC9,P4_direct_ext3_text_drift,portal16,하만　칸으로서도　그레미　토토라는　적을,14,18,E5183925,,0,,1,
601F0F,scenario_601EC9,P4_direct_ext3_text_drift,portal16,그에　상응하는　예의를　갖추고　네오,17,18,E518B24C,,0,,1,
601F53,scenario_601F45,P2_direct_ext3_exact_text,portal16,어쨌든、　이것은　결정　사항이다。,10,18,E518B250,,0,,2,
601F60,scenario_601F45,P2_direct_ext3_exact_text,portal16,네오　지온과의　공동　작전을　전제로,13,18,E518B251,,0,,1,
601F7C,scenario_601F45,P2_direct_ext3_exact_text,portal16,브라이트　중령도　그럴　생각으로,7,18,E518B253,,0,,1,
601FA6,scenario_601F9C,P2_direct_ext3_exact_text,portal16,네오　지온과　손을　잡는다고　들었는데、,18,18,E518B255,,0,,1,
601FE7,scenario_601FDA,P2_direct_ext3_exact_text,portal16,왜　하만　같은　녀석하고,6,18,E518B259,,0,,1,
602041,scenario_602033,P4_direct_ext3_text_drift,portal16,저런　녀석들과　손을　잡고　있으면　언제,14,18,E51816B1,,0,,1,
602088,scenario_602077,P4_direct_ext3_text_drift,portal16,……그　하만이라는　사람은　배신을,10,18,E5181A86,,0,,1,
6020DA,scenario_6020B8,P4_direct_ext3_text_drift,portal16,그것을　제쳐두고、　그녀는　우리들의,10,18,E5181A5F,,0,,1,
6020F6,scenario_6020B8,P4_direct_ext3_text_drift,portal16,그　사람에게는　그　사람　나름대로의　이,11,18,E5183742,,0,,1,
602186,scenario_60217E,P2_direct_ext3_exact_text,portal16,티탄즈의　콜로니　레이저는,9,18,E518B26F,,0,,1,
60226E,scenario_602255,P4_direct_ext3_text_drift,portal16,여왕으로서　손놓고,11,18,E5182C34,,0,,1,
6022B2,scenario_60229B,P2_direct_ext3_exact_text,portal16,여왕의　제안、,8,18,E518B281,,0,,1,
602343,scenario_602330,P2_direct_ext3_exact_text,portal16,과연　두　번째가　되고　보니、,10,18,E518B287,,0,,1,
602388,scenario_602370,P2_direct_ext3_exact_text,portal16,……아니。,5,18,E518B0B2,,0,,1,
60239B,scenario_602370,P1_direct_ext3_exact_text_control_adjacent,portal16,그　세라　씨가　마치　로봇처럼……,12,18,E518B28C,,0,,2,0802
6023F2,scenario_6023E7,P1_direct_ext3_exact_text_control_adjacent,portal16,말이　너무　심했……네。,10,18,E518B290,,0,,2,0802
6024FC,scenario_6024DF,P1_direct_ext3_exact_text_control_adjacent,portal16,라라아　가　죽었던　그날부터　말이지。,13,18,E518B29C,,0,,2,082B
602566,scenario_602555,P2_direct_ext3_exact_text,portal16,어차피　지나간　일이다。,7,18,E518B2A0,,0,,2,
602570,scenario_602555,P2_direct_ext3_exact_text,portal16,네가　말한　대로、,9,18,E518B2A1,,0,,1,
602669,scenario_60265C,P4_direct_ext3_text_drift,portal16,이상하군……　그　근처에　격납고는,7,18,E5181A8F,,0,,1,
60269F,scenario_602682,P2_direct_ext3_exact_text,portal16,그럼、　전투가　끝나면,10,18,E518B2AD,,0,,1,
6026C7,scenario_602682,P1_direct_ext3_exact_text_control_adjacent,portal16,지금은　전투에　전념해　다오！,10,18,E518B2B0,,0,,2,0883
602788,scenario_60276C,P1_direct_ext3_exact_text_control_adjacent,portal16,로랑은　전투를　계속해　다오！,11,18,E518B2B6,,0,,2,0883
602824,scenario_602811,P4_direct_ext3_text_drift,portal16,기술진이　조사했지만、　월광접처럼,12,18,E51849BD,,0,,1,
602861,scenario_60284D,P2_direct_ext3_exact_text,portal16,아마도、　앞으로의　전투는,8,18,E518B2C3,,0,,1,
602882,scenario_602878,P4_direct_ext3_text_drift,portal16,앞으로　티탄즈와　네오　지온에,13,18,E518379C,,0,,1,
60291B,scenario_602912,P4_direct_ext3_text_drift,portal16,콜로니　레이저의　조준을　좁히지,10,18,E5181A91,,0,,1,
602988,scenario_60296D,P1_direct_ext3_exact_text_control_adjacent,portal16,자신의　무력함을　깨닫게　해　주마！,15,18,E518B2D4,,0,,2,1728
6029C8,scenario_6029B8,P2_direct_ext3_exact_text,portal16,……하지만、,5,18,E518B2D7,,0,,1,
6029E1,scenario_6029B8,P1_direct_ext3_exact_text_control_adjacent,portal16,작전을　개시한다！！,9,18,E518B2D9,,0,,2,084B
602A21,scenario_602A0F,P2_direct_ext3_exact_text,portal16,각　함선은　전속력으로,6,18,E518B2DC,,0,,1,
602A58,scenario_602A39,P2_direct_ext3_exact_text,portal16,어쨌든、　품　안으로　뛰어들어,13,18,E518B2E0,,0,,1,
602A95,scenario_602A7C,P2_direct_ext3_exact_text,portal16,콜로니　레이저를　공격하는　것은　좋으나,15,18,E518B2E3,,0,,1,
602AB1,scenario_602A7C,P4_direct_ext3_text_drift,portal16,어려운　요구라는　것은　알지만、　여러분,14,18,E5181858,,0,,1,
602ACE,scenario_602A7C,P1_direct_ext3_exact_text_control_adjacent,portal16,……부탁한다！！,8,18,E518B2E7,,0,,2,1728
602CDA,scenario_602CBF,P4_direct_ext3_text_drift,portal16,Ｖ２의　빛의　날개로、　이번에야말로,10,18,E5181A6E,,0,,1,
602DD1,scenario_602DBE,P1_direct_ext3_exact_text_control_adjacent,portal16,이놈……！！,7,18,E518B309,,0,,2,1728
602E75,scenario_602E6C,P1_direct_ext3_exact_text_control_adjacent,portal16,월광접이다！！,6,18,E518B0B3,,0,,2,1728
602F07,scenario_602EF3,P4_direct_ext3_text_drift,portal16,저　정도로　타격을　입혀　놓으면　더　이,11,18,E51836FB,,0,,1,
602FD3,scenario_602FB7,P1_direct_ext3_exact_text_control_adjacent,portal16,살려둘　수는　없다！！,9,18,E518B320,,0,,2,0857
603094,scenario_603079,P4_direct_ext3_text_drift,portal16,하지만、　이　시뮬레이터에는　사이코뮤가,9,18,E51819FE,,0,,1,
6030B0,scenario_603079,P2_direct_ext3_exact_text,portal16,사이코뮤를　쓸　수　있다면,8,18,E518B32B,,0,,1,
603183,scenario_603177,P2_direct_ext3_exact_text,portal16,왜　샤아가,5,18,E518B334,,0,,1,
6031FF,scenario_6031DD,P2_direct_ext3_exact_text,portal16,……윽！！,5,18,E518B54E,,0,,2,
603207,scenario_6031DD,P2_direct_ext3_exact_text,portal16,설마　샤아는　아직도,7,18,E518B33A,,0,,1,
60326F,scenario_603266,P1_direct_ext3_exact_text_control_adjacent,portal16,방、　방금　그것은……,7,18,E518B33F,,0,,2,1728
6032C3,scenario_6032B0,P3_direct_ext3_control_adjacent_text_drift,portal16,남의　마음에　멋대로　들어오다니！,17,18,E5181BD7,,0,,2,1728
603307,scenario_6032F7,P1_direct_ext3_exact_text_control_adjacent,portal16,우리들은……！！,7,18,E518B345,,0,,2,1728
603325,scenario_603319,P4_direct_ext3_text_drift,portal16,방금　광경、　당신도　봤잖아！？,15,18,E5184AD1,,0,,1,
6033A5,scenario_603399,P2_direct_ext3_exact_text,portal16,역시　너는,5,18,E518B34C,,0,,1,
60340A,scenario_6033F7,P1_direct_ext3_exact_text_control_adjacent,portal16,놓쳐버렸는가……,7,18,E518B350,,0,,2,1728
60342A,scenario_60341C,P2_direct_ext3_exact_text,portal16,콜로니　레이저의　동력　차단에,13,18,E518B352,,0,,1,
60344F,scenario_603446,P2_direct_ext3_exact_text,portal16,지금　틈을　타　콜로니　레이저를,9,18,E518B355,,0,,1,
6034BB,scenario_6034AA,P1_direct_ext3_exact_text_control_adjacent,portal16,하만　님은　어디에　계시는가！？,12,18,E518B35A,,0,,2,1728
603512,scenario_603507,P2_direct_ext3_exact_text,portal16,좋아、　남은　것은　깅가남　부대뿐이다！,13,18,E518B35F,,0,,2,
603522,scenario_603507,P2_direct_ext3_exact_text,portal16,각　기체는　콜로니　레이저를　지키면서,11,18,E518B360,,0,,1,
603582,scenario_60356A,P1_direct_ext3_exact_text_control_adjacent,portal16,콜로니　레이저를　제압한다！！,12,18,E518B364,,0,,2,084B
6035D9,scenario_6035CF,P1_direct_ext3_exact_text_control_adjacent,portal16,모두、　아주　잘해　주었다！！,13,18,E518B367,,0,,2,1728
60360D,scenario_6035FF,P2_direct_ext3_exact_text,portal16,티탄즈의　함대가,6,18,E518B369,,0,,1,
60372D,scenario_60370D,P4_direct_ext3_text_drift,portal16,모빌슈트　부대로　적의　진격을　저지하고,14,18,E518B379,,0,,1,
60374D,scenario_60370D,P4_direct_ext3_text_drift,portal16,하야토와　베라　군은　준비해　두게。,15,18,E5183BE1,,0,,2,
60375F,scenario_60370D,P4_direct_ext3_text_drift,portal16,아마도　이것이　마지막　전투가　될　것이,15,18,E518B37C,,0,,1,
603806,scenario_6037EE,P3_direct_ext3_control_adjacent_text_drift,portal16,대위와　그　사이엔　무슨　일이　있었나！,15,18,E5182BC1,,0,,2,082B
603841,scenario_60382F,P2_direct_ext3_exact_text,portal16,하만　칸이　저런　식으로　되어버린　것은,11,18,E518B388,,0,,1,
603894,scenario_60387F,P2_direct_ext3_exact_text,portal16,당신은　하만　칸과,9,18,E518B38D,,0,,1,
6038DF,scenario_6038BE,P2_direct_ext3_exact_text,portal16,그렇게　말한　건、　대위님！,9,18,E518B391,,0,,1,
6038F2,scenario_6038BE,P4_direct_ext3_text_drift,portal16,그런데도、　대위님은　과거에　얽매여　타,14,18,E51847ED,,0,,1,
603912,scenario_6038BE,P4_direct_ext3_text_drift,portal16,그럼　대위가　비판한、　중력에,20,18,E51819B2,,0,,1,
60399C,scenario_60398F,P2_direct_ext3_exact_text,portal16,하만이　그렇게　되어버린　것은,12,18,E518B39A,,0,,1,
6039B6,scenario_60398F,P4_direct_ext3_text_drift,portal16,그렇다면、　예전의　상냥한　그녀로,17,18,E5184AD2,,0,,1,
6039DB,scenario_60398F,P2_direct_ext3_exact_text,portal16,과연　가능할지는　모르겠다만、,14,18,E518B39E,,0,,1,
6039F8,scenario_60398F,P2_direct_ext3_exact_text,portal16,하만과　다시　한번　대화하여、,12,18,E518B3A0,,0,,1,
603A5E,scenario_603A54,P2_direct_ext3_exact_text,portal16,내일의　전투는　어느　진영에게나,13,18,E518B3A6,,0,,1,
603A7B,scenario_603A54,P1_direct_ext3_exact_text_control_adjacent,portal16,……반드시　녀석은　개입해　올　것이다。,13,18,E518B3A8,,0,,2,0809
603AD1,scenario_603AC4,P3_direct_ext3_control_adjacent_text_drift,portal16,그녀가　나오면　어쩔　거야、　당신은？,16,18,E5181BD8,,0,,2,0802
603AF3,scenario_603AE7,P3_direct_ext3_control_adjacent_text_drift,portal16,내가　그녀를　죽이거나……,10,18,E5182C37,,0,,2,0809
603B29,scenario_603B12,P4_direct_ext3_text_drift,portal16,실제로　만나보지　않으면,14,18,E5180CB7,,0,,1,
604492,scenario_60447D,P3_direct_ext3_control_adjacent_text_drift,portal16,……응、『중위』？,9,18,E5182C3B,,0,,2,080A
6044B2,scenario_6044A1,P4_direct_ext3_text_drift,portal16,오늘부로　시그・웨드너　소위는,12,18,E5181D47,,0,,1,
6044CA,scenario_6044A1,P4_direct_ext3_text_drift,portal16,신편　전대에서　모빌슈트대를,12,18,E5184C59,,0,,1,
604545,scenario_604530,P4_direct_ext3_text_drift,portal16,아무리　젊어도、자네도,15,18,E5181C51,,0,,1,
60456A,scenario_604530,P3_direct_ext3_control_adjacent_text_drift,portal16,실력은　충분하다。,9,18,E5183C5A,,0,,2,0801
60459D,scenario_604586,P4_direct_ext3_text_drift,portal16,아군이　연방에　대항해　전력을,21,18,E518C0FD,,0,,1,
6045F8,scenario_6045D2,P2_direct_ext3_exact_text,portal16,그것을　위한　데이터를　수집하는　데,13,18,E518C102,,0,,1,
604658,scenario_604639,P2_direct_ext3_exact_text,portal16,그래서、　그　뉴타입들이라는　게,10,18,E518C108,,0,,1,
604675,scenario_604639,P4_direct_ext3_text_drift,portal16,동세대라면　그들과도　잘　어울릴　수　있,21,18,E518C10A,,0,,1,
6046B1,scenario_6046A2,P4_direct_ext3_text_drift,portal16,브라드　중령님은　저에게　모빌슈트　부대,12,18,E518C10D,,0,,1,
6046CF,scenario_6046A2,P3_direct_ext3_control_adjacent_text_drift,portal16,뉴타입들까지　돌보란　말입니까！？,15,18,E518C10F,,0,,2,080A
6046FA,scenario_6046E4,P2_direct_ext3_exact_text,portal16,가능한　한　그들과　잘　지내　달라고,15,18,E518C111,,0,,1,
604716,scenario_6046E4,P4_direct_ext3_text_drift,portal16,대원과의　의사소통은,17,18,E5184C5B,,0,,1,
60479A,scenario_604789,P4_direct_ext3_text_drift,portal16,『적　정찰　부대와　조우。　지급히,10,18,E5181A7D,,0,,1,
604819,scenario_6047F4,P3_direct_ext3_control_adjacent_text_drift,portal16,다른　건、아직……,8,18,E5182C3E,,0,,2,0801
60486A,scenario_60484D,P2_direct_ext3_exact_text,portal16,시그　웨드너　중위、,8,18,E518C123,,0,,1,
6048B3,scenario_6048A9,P2_direct_ext3_exact_text,portal16,……이런　이런。,5,18,E518C126,,0,,1,
6048C3,scenario_6048A9,P2_direct_ext3_exact_text,portal16,하지만　바로　방금　전까지,10,18,E518C128,,0,,1,
6048E0,scenario_6048A9,P2_direct_ext3_exact_text,portal16,아직　얼굴도　보지　못한　부하의,13,18,E518C12A,,0,,1,
604901,scenario_6048A9,P2_direct_ext3_exact_text,portal16,……의외로　대장직이,10,18,E518C12C,,0,,1,
6049C7,scenario_6049B0,P4_direct_ext3_text_drift,portal16,플라나간의　셔틀이　맞나！？,9,18,E518C136,,0,,1,
6049DB,scenario_6049B0,P2_direct_ext3_exact_text,portal16,곧　본대가　도착할　것이다。,10,18,E518C138,,0,,1,
604A99,scenario_604A89,P1_direct_ext3_exact_text_control_adjacent,portal16,해치를　열어다오。　나가겠다！！,12,18,E518C143,,0,,2,0891
604AC9,scenario_604ABF,P2_direct_ext3_exact_text,portal16,상당히　불안정한　움직임인데……,13,18,E518C145,,0,,1,
604AEE,scenario_604ABF,P1_direct_ext3_exact_text_control_adjacent,portal16,……이봐、　거기　돔！！,11,18,E518C147,,0,,2,1728
604B0A,scenario_604B01,P2_direct_ext3_exact_text,portal16,너무　큰　소리로　소리치지　말아줘。,18,18,E518C148,,0,,1,
604B41,scenario_604B37,P4_direct_ext3_text_drift,portal16,그보다、　모빌슈트　같은　걸　끌고,13,18,E518C14B,,0,,1,
604B8D,scenario_604B84,P2_direct_ext3_exact_text,portal16,그래……,4,18,E518C14F,,0,,1,
604BCB,scenario_604BA8,P3_direct_ext3_control_adjacent_text_drift,portal16,실전은……　이제부터　겪어야　하지。,15,18,E5180C40,,0,,2,1728
604C50,scenario_604C31,P2_direct_ext3_exact_text,portal16,내가　직접　보여줄　테니까、,11,18,E518C158,,0,,1,
604C83,scenario_604C76,P4_direct_ext3_text_drift,portal16,이렇게　적에게　인접하여　행하는　것이,15,18,E518C15B,,0,,1,
604CDA,scenario_604CCD,P2_direct_ext3_exact_text,portal16,빔　사벨이나　히트　호크、,16,18,E518626C,,0,,1,
604DF3,scenario_604DCD,P4_direct_ext3_text_drift,portal16,『근접』엔　약점이　하나　있다。,16,18,E5181BD9,,0,,2,
604F41,scenario_604F16,P4_direct_ext3_text_drift,portal16,다만、　반드시　성공하는　건　아니니,14,18,E5186283,,0,,1,
604F63,scenario_604F16,P4_direct_ext3_text_drift,portal16,……대충　이런　식이다。　나머지는,13,18,E5183AA4,,0,,1,
604F9C,scenario_604F91,P4_direct_ext3_text_drift,portal16,『근접』과　『사격』　상황에　따라　이,9,18,E5183A37,,0,,1,
604FEA,scenario_604FE0,P2_direct_ext3_exact_text,portal16,그럼、　전투　개시다。,7,18,E518C047,,0,,1,
605035,scenario_60502B,P1_direct_ext3_exact_text_control_adjacent,portal16,그럼、　전투　개시다。,7,18,E518C047,,0,,2,1728
60505D,scenario_605047,P4_direct_ext3_text_drift,portal16,그것이、　『ＩＤ　커맨드』이다。,11,18,E518C164,,0,,2,
60506B,scenario_605047,P2_direct_ext3_exact_text,portal16,이것은　그　캐릭터　특유의　능력으로、,16,18,E518628F,,0,,1,
60508C,scenario_605047,P1_direct_ext3_exact_text_control_adjacent,portal16,예를　들어、　내　경우에는　이것이다。,15,18,E5186291,,0,,2,1728
6050E0,scenario_6050BB,P4_direct_ext3_text_drift,portal16,ＩＤ　커맨드를　사용하기　위해서는,10,18,E5186295,,0,,1,
605101,scenario_6050BB,P4_direct_ext3_text_drift,portal16,그만큼　전투에서　큰　보정을　받는다。,20,18,E5184BDE,,0,,2,
605118,scenario_6050BB,P4_direct_ext3_text_drift,portal16,전투　외에도　ＨＰ를　회복하거나、　그,17,18,E5182A0D,,0,,1,
605140,scenario_6050BB,P4_direct_ext3_text_drift,portal16,『ＩＤ　커맨드』를　정확히　써라。,19,18,E5184AD3,,0,,1,
605183,scenario_60516E,P1_direct_ext3_exact_text_control_adjacent,portal16,『스택』을　구성해서　싸운다！,12,18,E518629D,,0,,2,1728
6051C1,scenario_6051A2,P4_direct_ext3_text_drift,portal16,『Ｓ　사이즈』의　유닛은　３기까지。,16,18,E518C165,,0,,1,
6051E6,scenario_6051A2,P4_direct_ext3_text_drift,portal16,『스택』을　짜면　이동과　전투를,18,18,E5181ACD,,0,,1,
605231,scenario_605210,P1_direct_ext3_exact_text_control_adjacent,portal16,그렇다면、　어떻게　구성하면　되지？,11,18,E518C168,,0,,2,1728
60525A,scenario_605244,P2_direct_ext3_exact_text,portal16,내가　그쪽으로　이동할　테니,9,18,E518C169,,0,,1,
6052A5,scenario_605294,P2_direct_ext3_exact_text,portal16,그럼、　이　『스택』인가　하는　것으로,13,18,E51862A6,,0,,1,
605362,scenario_60534A,P4_direct_ext3_text_drift,portal16,확실히　실전　경험은　없었지만、　비행,12,18,E5184A26,,0,,1,
605383,scenario_60534A,P4_direct_ext3_text_drift,portal16,내게　부족한　건　전투　경험뿐……,19,18,E51839A0,,0,,1,
6053C8,scenario_6053BF,P4_direct_ext3_text_drift,portal16,플라나간　기관의　뉴타입이라길래,15,18,E518335B,,0,,1,
